id,Geographic Area Name,Total Population Estimate
48001,"Anderson County, Texas",44348
48003,"Andrews County, Texas",17927
48005,"Angelina County, Texas",84680
48007,"Aransas County, Texas",24070
48009,"Archer County, Texas",8647
48011,"Armstrong County, Texas",1900
48013,"Atascosa County, Texas",48704
48015,"Austin County, Texas",29491
48017,"Bailey County, Texas",6743
48019,"Bandera County, Texas",21998
48021,"Bastrop County, Texas",82161
48023,"Baylor County, Texas",3461
48025,"Bee County, Texas",24846
48027,"Bell County, Texas",337083
48029,"Bexar County, Texas",1919412
48031,"Blanco County, Texas",11265
48033,"Borden County, Texas",613
48035,"Bosque County, Texas",17890
48037,"Bowie County, Texas",87652
48039,"Brazoria County, Texas",348507
48041,"Brazos County, Texas",207176
48043,"Brewster County, Texas",8987
48045,"Briscoe County, Texas",1427
48047,"Brooks County, Texas",6573
48049,"Brown County, Texas",36136
48051,"Burleson County, Texas",17771
48053,"Burnet County, Texas",45910
48055,"Caldwell County, Texas",39956
48057,"Calhoun County, Texas",21351
48059,"Callahan County, Texas",13707
48061,"Cameron County, Texas",418195
48063,"Camp County, Texas",12815
48065,"Carson County, Texas",5937
48067,"Cass County, Texas",29558
48069,"Castro County, Texas",7580
48071,"Chambers County, Texas",40994
48073,"Cherokee County, Texas",48713
48075,"Childress County, Texas",5738
48077,"Clay County, Texas",10285
48079,"Cochran County, Texas",2856
48081,"Coke County, Texas",3173
48083,"Coleman County, Texas",8238
48085,"Collin County, Texas",968592
48087,"Collingsworth County, Texas",2904
48089,"Colorado County, Texas",20787
48091,"Comal County, Texas",140476
48093,"Comanche County, Texas",13224
48095,"Concho County, Texas",2195
48097,"Cooke County, Texas",39109
48099,"Coryell County, Texas",60505
48101,"Cottle County, Texas",1634
48103,"Crane County, Texas",4684
48105,"Crockett County, Texas",3418
48107,"Crosby County, Texas",5758
48109,"Culberson County, Texas",2208
48111,"Dallam County, Texas",7163
48113,"Dallas County, Texas",2577160
48115,"Dawson County, Texas",10950
48117,"Deaf Smith County, Texas",18461
48119,"Delta County, Texas",5183
48121,"Denton County, Texas",820627
48123,"DeWitt County, Texas",18395
48125,"Dickens County, Texas",2083
48127,"Dimmit County, Texas",10326
48129,"Donley County, Texas",3031
48131,"Duval County, Texas",10647
48133,"Eastland County, Texas",17311
48135,"Ector County, Texas",158804
48137,"Edwards County, Texas",1906
48139,"Ellis County, Texas",171471
48141,"El Paso County, Texas",820912
48143,"Erath County, Texas",39761
48145,"Falls County, Texas",15536
48147,"Fannin County, Texas",31577
48149,"Fayette County, Texas",24704
48151,"Fisher County, Texas",3820
48153,"Floyd County, Texas",5756
48155,"Foard County, Texas",1239
48157,"Fort Bend County, Texas",759272
48159,"Franklin County, Texas",10613
48161,"Freestone County, Texas",18054
48163,"Frio County, Texas",15557
48165,"Gaines County, Texas",20597
48167,"Galveston County, Texas",326347
48169,"Garza County, Texas",4208
48171,"Gillespie County, Texas",26082
48173,"Glasscock County, Texas",1510
48175,"Goliad County, Texas",7454
48177,"Gonzales County, Texas",20443
48179,"Gray County, Texas",20693
48181,"Grayson County, Texas",128315
48183,"Gregg County, Texas",119353
48185,"Grimes County, Texas",24360
48187,"Guadalupe County, Texas",156942
48189,"Hale County, Texas",31508
48191,"Hall County, Texas",2993
48193,"Hamilton County, Texas",8093
48195,"Hansford County, Texas",5445
48197,"Hardeman County, Texas",3920
48199,"Hardin County, Texas",56068
48201,"Harris County, Texas",4601170
48203,"Harrison County, Texas",64974
48205,"Hartley County, Texas",4120
48207,"Haskell County, Texas",5262
48209,"Hays County, Texas",205493
48211,"Hemphill County, Texas",3958
48213,"Henderson County, Texas",79575
48215,"Hidalgo County, Texas",844950
48217,"Hill County, Texas",34636
48219,"Hockley County, Texas",22206
48221,"Hood County, Texas",57594
48223,"Hopkins County, Texas",35842
48225,"Houston County, Texas",19768
48227,"Howard County, Texas",31555
48229,"Hudspeth County, Texas",3624
48231,"Hunt County, Texas",91378
48233,"Hutchinson County, Texas",21180
48235,"Irion County, Texas",1620
48237,"Jack County, Texas",7695
48239,"Jackson County, Texas",14494
48241,"Jasper County, Texas",34449
48243,"Jeff Davis County, Texas",2177
48245,"Jefferson County, Texas",237578
48247,"Jim Hogg County, Texas",5148
48249,"Jim Wells County, Texas",40463
48251,"Johnson County, Texas",164022
48253,"Jones County, Texas",12753
48255,"Karnes County, Texas",12432
48257,"Kaufman County, Texas",122078
48259,"Kendall County, Texas",43212
48261,"Kenedy County, Texas",568
48263,"Kent County, Texas",601
48265,"Kerr County, Texas",50232
48267,"Kimble County, Texas",4330
48269,"King County, Texas",237
48271,"Kinney County, Texas",3404
48273,"Kleberg County, Texas",29084
48275,"Knox County, Texas",3571
48277,"Lamar County, Texas",48911
48279,"Lamb County, Texas",12899
48281,"Lampasas County, Texas",20605
48283,"La Salle County, Texas",6460
48285,"Lavaca County, Texas",19546
48287,"Lee County, Texas",16596
48289,"Leon County, Texas",17129
48291,"Liberty County, Texas",75950
48293,"Limestone County, Texas",22572
48295,"Lipscomb County, Texas",3320
48297,"Live Oak County, Texas",10665
48299,"Llano County, Texas",20795
48301,"Loving County, Texas",98
48303,"Lubbock County, Texas",292392
48305,"Lynn County, Texas",5775
48307,"McCulloch County, Texas",7845
48309,"McLennan County, Texas",241276
48311,"McMullen County, Texas",774
48313,"Madison County, Texas",10964
48315,"Marion County, Texas",9906
48317,"Martin County, Texas",5589
48319,"Mason County, Texas",4176
48321,"Matagorda County, Texas",36334
48323,"Maverick County, Texas",57972
48325,"Medina County, Texas",47552
48327,"Menard County, Texas",2074
48329,"Midland County, Texas",166097
48331,"Milam County, Texas",24237
48333,"Mills County, Texas",4706
48335,"Mitchell County, Texas",6320
48337,"Montague County, Texas",19143
48339,"Montgomery County, Texas",568523
48341,"Moore County, Texas",21148
48343,"Morris County, Texas",12210
48345,"Motley County, Texas",1252
48347,"Nacogdoches County, Texas",59750
48349,"Navarro County, Texas",48041
48351,"Newton County, Texas",13743
48353,"Nolan County, Texas",14623
48355,"Nueces County, Texas",353228
48357,"Ochiltree County, Texas",10029
48359,"Oldham County, Texas",1669
48361,"Orange County, Texas",82867
48363,"Palo Pinto County, Texas",28153
48365,"Panola County, Texas",22779
48367,"Parker County, Texas",131923
48369,"Parmer County, Texas",9643
48371,"Pecos County, Texas",13490
48373,"Polk County, Texas",45305
48375,"Potter County, Texas",112681
48377,"Presidio County, Texas",6970
48379,"Rains County, Texas",11669
48381,"Randall County, Texas",131196
48383,"Reagan County, Texas",3731
48385,"Real County, Texas",3156
48387,"Red River County, Texas",11969
48389,"Reeves County, Texas",13512
48391,"Refugio County, Texas",6969
48393,"Roberts County, Texas",791
48395,"Robertson County, Texas",16786
48397,"Rockwall County, Texas",96447
48399,"Runnels County, Texas",9936
48401,"Rusk County, Texas",48705
48403,"Sabine County, Texas",10326
48405,"San Augustine County, Texas",8044
48407,"San Jacinto County, Texas",27895
48409,"San Patricio County, Texas",66137
48411,"San Saba County, Texas",5308
48413,"Schleicher County, Texas",2983
48415,"Scurry County, Texas",15087
48417,"Shackelford County, Texas",3270
48419,"Shelby County, Texas",25111
48421,"Sherman County, Texas",3022
48423,"Smith County, Texas",222154
48425,"Somervell County, Texas",8623
48427,"Starr County, Texas",63419
48429,"Stephens County, Texas",8910
48431,"Sterling County, Texas",1194
48433,"Stonewall County, Texas",1422
48435,"Sutton County, Texas",3807
48437,"Swisher County, Texas",6783
48439,"Tarrant County, Texas",2023452
48441,"Taylor County, Texas",130580
48443,"Terrell County, Texas",896
48445,"Terry County, Texas",11511
48447,"Throckmorton County, Texas",1432
48449,"Titus County, Texas",32241
48451,"Tom Green County, Texas",112042
48453,"Travis County, Texas",1201757
48455,"Trinity County, Texas",14449
48457,"Tyler County, Texas",18844
48459,"Upshur County, Texas",40377
48461,"Upton County, Texas",3591
48463,"Uvalde County, Texas",26410
48465,"Val Verde County, Texas",46976
48467,"Van Zandt County, Texas",54084
48469,"Victoria County, Texas",90586
48471,"Walker County, Texas",55013
48473,"Waller County, Texas",47386
48475,"Ward County, Texas",11552
48477,"Washington County, Texas",32923
48479,"Webb County, Texas",270104
48481,"Wharton County, Texas",40992
48483,"Wheeler County, Texas",5275
48485,"Wichita County, Texas",116584
48487,"Wilbarger County, Texas",12447
48489,"Willacy County, Texas",20275
48491,"Williamson County, Texas",542471
48493,"Wilson County, Texas",48484
48495,"Winkler County, Texas",7767
48497,"Wise County, Texas",65110
48499,"Wood County, Texas",42759
48501,"Yoakum County, Texas",8631
48503,"Young County, Texas",17715
48505,"Zapata County, Texas",14149
48507,"Zavala County, Texas",11875
